0,2.0541,0,1.9974,0,2.0636
0.025,0.63017,0.025,0.60484,0.025,0.64646
0.05,0.37435,0.05,0.3924,0.05,0.43202
0.075,0.23698,0.075,0.18715,0.075,0.16307
0.1,0.086652,0.1,0.057798,0.1,0.047618
0.125,0.17233,0.125,0.06977,0.125,0.07709
0.15,0.31847,0.15,0.14426,0.15,0.12214
0.175,0.22359,0.175,0.15023,0.175,0.09294
0.2,0.15577,0.2,0.058444,0.2,0.066189
0.225,0.15284,0.225,0.05379,0.225,0.065395
0.25,0.19845,0.25,0.1637,0.25,0.13056
0.275,0.19571,0.275,0.1054,0.275,0.09664
0.3,0.13423,0.3,0.14166,0.3,0.034438
0.325,0.22899,0.325,0.20138,0.325,0.071167
0.35,0.091881,0.35,0.20228,0.35,0.083928
0.375,0.10517,0.375,0.21958,0.375,0.10953
0.4,0.10771,0.4,0.22488,0.4,0.07013
0.425,0.038916,0.425,0.15131,0.425,0.083435
0.45,0.13105,0.45,0.053456,0.45,0.13407
0.475,0.014681,0.475,0.014615,0.475,0.11989
0.5,0.073656,0.5,0.0020514,0.5,0.11404
0.525,0.060162,0.525,0.029711,0.525,0.19488
0.55,0.04573,0.55,0.18543,0.55,0.12592
0.575,0.019198,0.575,0.089694,0.575,0.076339
0.6,0.033088,0.6,0.10874,0.6,0.099021
0.625,0.042044,0.625,0.17683,0.625,0.045914
0.65,0.035345,0.65,0.11282,0.65,0.058046
0.675,0.088756,0.675,0.10249,0.675,0.025617
0.7,0.1044,0.7,0.23349,0.7,0.014343
0.725,0.19174,0.725,0.098347,0.725,0.015703
0.75,0.12585,0.75,0.1984,0.75,0.058416
0.775,0.077891,0.775,0.067982,0.775,0.12655
0.8,0.077933,0.8,0.20336,0.8,0.11907
0.825,0.071867,0.825,0.058737,0.825,0.18036
0.85,0.095083,0.85,0.095571,0.85,0.24554
0.875,0.031815,0.875,0.1131,0.875,0.112
0.9,0.099297,0.9,0.062851,0.9,0.15884
0.925,0.033254,0.925,0.067846,0.925,0.17774
0.95,0.098696,0.95,0.097049,0.95,0.11325
0.975,0.057189,0.975,0.093379,0.975,0.13515
1,0.016975,1,0.019639,1,0.041904
1.025,0.013985,1.025,0.054836,1.025,0.066942
1.05,0.069363,1.05,0.044093,1.05,0.057796
1.075,0.049808,1.075,0.078325,1.075,0.12339
1.1,0.059724,1.1,0.048599,1.1,0.046416
1.125,0.016444,1.125,0.053253,1.125,0.15224
1.15,0.027454,1.15,0.0098068,1.15,0.090454
1.175,0.043385,1.175,0.05747,1.175,0.046043
1.2,0.032649,1.2,0.12523,1.2,0.12866
1.225,0.032103,1.225,0.19065,1.225,0.13492
1.25,0.044453,1.25,0.16184,1.25,0.074958
1.275,0.027951,1.275,0.016789,1.275,0.017595
1.3,0.014639,1.3,0.047062,1.3,0.051423
1.325,0.041482,1.325,0.026892,1.325,0.02896
1.35,0.01769,1.35,0.036706,1.35,0.00095685
1.375,0.013267,1.375,0.021191,1.375,0.026356
1.4,0.049698,1.4,0.0233,1.4,0.057835
1.425,0.0427,1.425,0.02548,1.425,0.028012
1.45,0.0648,1.45,0.01853,1.45,0.07907
1.475,0.10431,1.475,0.02419,1.475,0.019029
1.5,0.0242,1.5,0.015996,1.5,0.024836
1.525,0.054073,1.525,0.021764,1.525,0.037025
1.55,0.082202,1.55,0.060289,1.55,0.036167
1.575,0.041745,1.575,0.029623,1.575,0.032813
1.6,0.06609,1.6,0.063806,1.6,0.0454
1.625,0.043059,1.625,0.041259,1.625,0.041344
1.65,0.040908,1.65,0.044609,1.65,0.094216
1.675,0.049968,1.675,0.056154,1.675,0.099896
1.7,0.1117,1.7,0.071909,1.7,0.10507
1.725,0.046276,1.725,0.066163,1.725,0.099238
1.75,0.14741,1.75,0.08228,1.75,0.16487
1.775,0.087787,1.775,0.032754,1.775,0.052022
1.8,0.017234,1.8,0.10814,1.8,0.11367
1.825,0.033988,1.825,0.13555,1.825,0.11433
1.85,0.058919,1.85,0.036821,1.85,0.073489
1.875,0.013336,1.875,0.10532,1.875,0.081904
1.9,0.020403,1.9,0.034327,1.9,0.027298
1.925,0.083843,1.925,0.029891,1.925,0.06677
1.95,0.037412,1.95,0.10023,1.95,0.09626
1.975,0.12233,1.975,0.10389,1.975,0.082477
2,0.042002,2,0.092974,2,0.081923
2.025,0.05144,2.025,0.037826,2.025,0.016668
2.05,0.046653,2.05,0.14429,2.05,0.066033
2.075,0.053105,2.075,0.092259,2.075,0.087874
2.1,0.025199,2.1,0.061876,2.1,0.085571
2.125,0.080382,2.125,0.049889,2.125,0.016442
2.15,0.064971,2.15,0.040053,2.15,0.082501
2.175,0.067638,2.175,0.10212,2.175,0.052901
2.2,0.051779,2.2,0.080411,2.2,0.026008
2.225,0.10683,2.225,0.058967,2.225,0.022998
2.25,0.06367,2.25,0.043075,2.25,0.10127
2.275,0.056113,2.275,0.056452,2.275,0.053899
2.3,0.0068517,2.3,0.047193,2.3,0.013631
2.325,0.010505,2.325,0.081189,2.325,0.09945
2.35,0.033142,2.35,0.049309,2.35,0.044206
2.375,0.040245,2.375,0.053141,2.375,0.035719
2.4,0.028786,2.4,0.038589,2.4,0.12299
2.425,0.045831,2.425,0.071366,2.425,0.022349
2.45,0.062656,2.45,0.067142,2.45,0.11671
2.475,0.010657,2.475,0.057235,2.475,0.087299
2.5,0.031242,2.5,0.077293,2.5,0.028467
2.525,0.039367,2.525,0.14257,2.525,0.013049
2.55,0.0405,2.55,0.09575,2.55,0.028619
2.575,0.058021,2.575,0.03357,2.575,0.018166
